player,value,nationality,age,height,league,champions_league,team,position_type,position,foot,games,games_starts,minutes,game_win,game_lose,game_clean_sheets,goals_team,assits_team,goals,assists,shots_total,shots_on_target,goal_created,dribbles,dribbles_completed_pct,aerials_won,aerials_won_pct,passes,passes_pct,passes_received,passes_received_pct,touches,carry_distance,carry_progressive_distance,blocks,blocked_passes,blocked_shots,clearances,tackles,tackles_won,ball_recoveries,saves,save_pct,pens_saved,cards_yellow,cards_red,dispossessed,errors
Rafinha,9500000,br BRA,26,174,La Liga,0,Celta Vigo,Midfielder,Attacking Midfield,left,29,25,2111,7,15,0,1.8,1.4,4,1,32,10,6,74,75.7,31,54.4,1317,86.4,1199,88.2,1686,7576,4264,50,43,7,22,76,53,261,0,0.0,0,5,0,52,0
Jorge SĂˇenz,1000000,es ESP,22,190,La Liga,0,Celta Vigo,Defender,Centre-Back,right,7,5,371,7,15,0,0.0,0.0,0,0,0,0,0,0,0.0,9,47.4,168,81.0,131,98.5,207,557,260,6,4,2,23,4,0,36,0,0.0,0,3,1,1,0
Pione Sisto,4000000,dk DEN,24,172,La Liga,0,Celta Vigo,Forward,Left Winger,right,21,8,891,7,15,0,1.9,0.3,2,0,30,15,2,32,65.6,1,10.0,445,78.2,480,83.3,628,3243,1557,18,18,0,5,18,10,61,0,0.0,0,2,0,25,0
Fyodor Smolov,6000000,ru RUS,29,186,La Liga,0,Celta Vigo,Forward,Centre-Forward,right,14,10,743,7,15,0,2.3,0.4,2,0,15,6,1,23,47.8,14,37.8,196,68.9,222,62.5,299,1227,643,10,10,0,6,2,1,30,0,0.0,0,4,0,16,0
Denis SuĂˇrez,9000000,es ESP,25,176,La Liga,0,Celta Vigo,Midfielder,Attacking Midfield,right,26,20,1630,7,15,0,2.3,4.6,1,5,19,9,5,101,55.4,3,15.8,876,75.8,822,86.2,1104,7118,4471,19,19,0,7,25,16,111,0,0.0,0,2,0,48,0
Kevin VĂˇzquez,80000,es ESP,26,175,La Liga,0,Celta Vigo,Defender,Right-Back,right,17,16,1325,7,15,0,0.0,0.4,0,0,1,0,1,23,65.2,19,40.4,768,79.7,509,92.4,925,2527,1370,33,32,1,42,30,15,138,0,0.0,0,6,0,8,0
IvĂˇn Villar,30000,es ESP,22,189,La Liga,0,Celta Vigo,Goalkeeper,Goalkeeper,right,4,3,280,7,15,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,89,67.4,33,100.0,100,160,99,0,0,0,0,0,0,15,6,0.545,0,0,0,0,0
Okay YokuĹźlu,6000000,tr TUR,25,191,La Liga,0,Celta Vigo,Midfielder,Defensive Midfield,right,26,24,1973,7,15,0,0.3,1.4,0,2,11,2,3,33,69.7,76,66.1,1064,82.9,791,94.8,1302,4119,1902,22,14,8,89,38,26,293,0,0.0,0,6,0,25,0
Tammy Abraham,40000000,eng ENG,21,191,Premier League,1,Chelsea,Forward,Centre-Forward,right,34,25,2215,20,12,0,14.1,2.5,15,3,88,35,10,36,58.3,67,37.9,412,69.9,495,46.0,739,2317,1164,23,18,5,26,14,10,95,0,0.0,0,2,0,47,0
Marcos Alonso,20000000,es ESP,28,188,Premier League,1,Chelsea,Defender,Left-Back,left,18,15,1430,20,12,0,2.0,2.2,4,2,30,8,6,19,63.2,42,57.5,1108,82.7,829,89.3,1313,4756,2731,30,29,1,48,27,19,183,0,0.0,0,4,0,22,0
Faustino Anjorin,2000000,eng ENG,17,186,Premier League,1,Chelsea,Midfielder,Attacking Midfield,right,1,0,20,20,12,0,0.0,0.0,0,0,1,0,0,1,100.0,0,0.0,7,100.0,8,72.7,12,67,40,1,1,0,0,1,0,1,0,0.0,0,0,0,1,0
Kepa Arrizabalaga,36000000,es ESP,24,186,Premier League,1,Chelsea,Goalkeeper,Goalkeeper,right,33,33,2970,20,12,8,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,1086,80.8,646,100.0,1134,2610,1487,0,0,0,1,0,0,138,55,0.545,0,0,0,0,2
CĂ©sar Azpilicueta,24000000,es ESP,29,178,Premier League,1,Chelsea,Defender,Right-Back,right,36,36,3229,20,12,0,2.7,5.8,2,6,29,6,7,24,62.5,94,61.0,2838,79.9,2095,93.9,3273,7188,4103,81,61,20,146,102,61,380,0,0.0,0,1,0,13,0
Ross Barkley,21000000,eng ENG,25,185,Premier League,1,Chelsea,Midfielder,Central Midfield,right,21,13,1103,20,12,0,2.2,2.8,1,4,40,12,5,42,78.6,10,40.0,616,87.7,618,88.9,779,3912,1862,11,8,3,12,16,11,97,0,0.0,0,0,0,37,0
Michy Batshuayi,17000000,be BEL,25,184,Premier League,1,Chelsea,Forward,Centre-Forward,right,16,1,239,20,12,0,2.2,0.2,1,1,15,2,3,8,50.0,6,28.6,76,80.3,87,48.1,120,523,302,4,2,2,1,2,1,17,0,0.0,0,0,0,4,0
Willy Caballero,60000,ar ARG,37,186,Premier League,1,Chelsea,Goalkeeper,Goalkeeper,right,5,5,450,20,12,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,165,73.3,110,100.0,177,422,208,0,0,0,1,0,0,17,10,0.563,0,0,0,0,0
Andreas Christensen,24000000,dk DEN,23,188,Premier League,1,Chelsea,Defender,Centre-Back,right,21,21,1751,20,12,0,0.7,1.0,0,0,7,2,1,2,100.0,68,63.0,1258,92.7,1056,98.9,1449,6115,3330,22,13,9,104,41,20,173,0,0.0,0,5,0,2,0
Billy Gilmour,5000000,sco SCO,18,170,Premier League,1,Chelsea,Midfielder,Central Midfield,right,6,2,194,20,12,0,0.0,0.1,0,0,1,0,1,6,50.0,3,37.5,169,89.3,150,95.5,196,711,310,6,6,0,1,6,4,31,0,0.0,0,0,0,6,0
Olivier Giroud,7000000,fr FRA,32,193,Premier League,1,Chelsea,Forward,Centre-Forward,left,18,12,993,20,12,0,6.7,1.2,8,0,39,19,4,3,66.7,44,51.8,306,67.6,301,55.6,415,397,208,20,14,6,13,4,3,47,0,0.0,0,1,0,6,0
Callum Hudson-Odoi,31000000,eng ENG,18,177,Premier League,1,Chelsea,Forward,Left Winger,right,22,7,863,20,12,0,1.7,2.7,1,5,22,4,6,54,63.0,3,17.6,476,80.7,494,79.5,624,3783,2313,18,18,0,6,8,5,60,0,0.0,0,1,0,29,0
Reece James,22000000,eng ENG,19,182,Premier League,1,Chelsea,Defender,Right-Back,right,24,16,1515,20,12,0,0.7,3.2,0,2,18,3,4,38,73.7,35,45.5,1268,83.2,983,94.2,1483,4899,2452,46,38,8,39,42,23,164,0,0.0,0,1,0,27,0
Jorginho,50000000,it ITA,27,180,Premier League,1,Chelsea,Midfielder,Defensive Midfield,right,31,27,2379,20,12,0,3.4,2.3,4,2,10,1,6,24,70.8,13,26.0,2221,88.0,1791,96.2,2472,7678,3785,41,36,5,34,69,44,401,0,0.0,0,10,0,22,0
N'Golo KantĂ©,80000000,fr FRA,28,168,Premier League,1,Chelsea,Midfielder,Central Midfield,right,22,20,1732,20,12,0,1.6,2.1,3,0,18,6,1,46,60.9,17,33.3,1140,85.5,915,87.6,1398,5309,2817,43,40,3,35,58,43,282,0,0.0,0,4,0,32,0
Mateo Kovacic,45000000,hr CRO,25,177,Premier League,1,Chelsea,Midfielder,Central Midfield,right,31,23,2073,20,12,0,1.4,1.9,1,3,21,5,7,77,76.6,8,29.6,1846,90.2,1646,95.2,2085,9797,4925,28,26,2,17,80,55,244,0,0.0,0,8,0,24,0
Tariq Lamptey,3000000,eng ENG,18,164,Premier League,1,Chelsea,Defender,Right-Back,right,1,0,32,20,12,0,0.0,0.1,0,0,0,0,0,0,0.0,0,0.0,14,85.7,5,100.0,18,73,56,0,0,0,0,2,0,6,0,0.0,0,0,0,1,0
Ruben Loftus-Cheek,24000000,eng ENG,23,191,Premier League,1,Chelsea,Midfielder,Central Midfield,right,7,2,208,20,12,0,0.5,0.3,0,1,4,0,1,2,100.0,1,20.0,131,88.5,116,78.9,145,631,320,3,2,1,3,0,0,23,0,0.0,0,0,0,3,0
Mason Mount,40000000,eng ENG,20,178,Premier League,1,Chelsea,Midfielder,Attacking Midfield,right,37,32,2867,20,12,0,7.2,4.6,7,5,78,29,17,77,61.0,14,26.4,1380,80.9,1265,74.5,1757,7852,4319,26,25,1,16,48,31,214,0,0.0,0,3,0,66,0
Emerson Palmieri,18000000,it ITA,24,181,Premier League,1,Chelsea,Defender,Left-Back,left,15,13,1024,20,12,0,1.0,1.4,0,0,13,7,0,22,63.6,17,70.8,853,82.8,644,93.5,990,3471,2239,31,29,2,22,22,7,116,0,0.0,0,3,0,9,0
Pedro,7500000,es ESP,32,167,Premier League,1,Chelsea,Forward,Right Winger,both,11,8,661,20,12,0,2.8,0.8,1,1,5,1,4,27,59.3,2,28.6,19,73.7,321,81.3,424,2323,1065,1,1,0,0,1,1,61,0,0.0,0,1,0,7,0
Christian Pulisic,54000000,us USA,20,172,Premier League,1,Chelsea,Forward,Left Winger,right,25,19,1722,20,12,0,8.2,3.5,9,4,62,25,13,101,50.5,16,25.4,700,78.0,836,74.5,1026,6792,4413,23,23,0,11,31,19,101,0,0.0,0,0,0,65,0
Antonio RĂĽdiger,40000000,de GER,26,190,Premier League,1,Chelsea,Defender,Centre-Back,right,20,19,1710,20,12,0,0.6,0.3,2,0,11,3,0,0,0.0,61,70.1,1449,87.8,1193,99.3,1642,6642,3843,27,19,8,108,43,24,233,0,0.0,0,3,0,5,2
Fikayo Tomori,16000000,eng ENG,21,184,Premier League,1,Chelsea,Defender,Centre-Back,right,15,15,1291,20,12,0,0.6,0.2,1,0,7,3,0,11,63.6,40,64.5,1098,89.3,944,98.4,1277,4464,2162,29,20,9,93,30,15,145,0,0.0,0,3,0,5,2
Willian,19000000,br BRA,30,175,Premier League,1,Chelsea,Forward,Right Winger,right,36,29,2600,20,12,0,7.1,6.9,9,7,67,26,14,86,72.1,10,30.3,1600,77.9,1438,83.1,1927,12336,6893,22,21,1,11,43,27,220,0,0.0,0,4,0,40,0
Kurt Zouma,28000000,fr FRA,24,190,Premier League,1,Chelsea,Defender,Centre-Back,right,28,25,2344,20,12,0,0.8,0.2,0,0,15,5,0,12,66.7,99,76.7,1982,89.4,1674,98.6,2291,8059,4312,34,18,16,181,33,17,307,0,0.0,0,6,0,5,3
Patrick van Aanholt,9000000,nl NED,28,176,Premier League,0,Crystal Palace,Defender,Left-Back,left,29,29,2507,11,17,0,2.4,3.2,3,2,26,5,5,36,50.0,12,41.4,1558,78.8,994,92.1,1839,5651,3129,57,44,13,67,51,32,243,0,0.0,0,0,0,16,3
Jordan Ayew,6000000,gh GHA,27,182,Premier League,0,Crystal Palace,Forward,Centre-Forward,right,37,37,3148,11,17,0,6.5,1.9,9,2,56,24,7,117,64.1,59,25.2,838,81.9,956,56.8,1366,7695,3828,35,29,6,20,54,29,212,0,0.0,0,6,0,108,0
Christian Benteke,10000000,be BEL,28,190,Premier League,0,Crystal Palace,Forward,Centre-Forward,right,24,13,1261,11,17,0,5.1,2.1,2,1,42,19,6,25,60.0,118,53.9,326,58.3,402,55.5,540,1887,968,14,8,6,25,9,5,55,0,0.0,0,4,1,30,0
Gary Cahill,4000000,eng ENG,33,193,Premier League,0,Crystal Palace,Defender,Centre-Back,right,25,25,2167,11,17,0,1.3,0.3,0,1,20,5,1,10,80.0,78,63.4,953,86.7,728,96.0,1207,3753,1572,45,21,24,134,18,12,219,0,0.0,0,1,0,4,0
VĂ­ctor Camarasa,4000000,es ESP,25,183,Premier League,0,Crystal Palace,Midfielder,Central Midfield,right,1,0,6,11,17,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,3,100.0,3,100.0,3,28,9,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
Scott Dann,2000000,eng ENG,32,194,Premier League,0,Crystal Palace,Defender,Centre-Back,right,16,14,1266,11,17,0,0.4,0.4,0,1,8,2,1,6,83.3,36,52.9,555,83.1,378,96.7,683,1665,982,17,11,6,80,12,5,154,0,0.0,0,0,0,0,0
Vicente Guaita,4000000,es ESP,32,190,Premier League,0,Crystal Palace,Goalkeeper,Goalkeeper,right,35,35,3150,11,17,10,0.0,0.0,0,0,0,0,1,0,0.0,0,0.0,1053,56.1,425,100.0,1148,2374,1600,0,0,0,0,0,0,164,106,0.714,0,1,0,0,2
Wayne Hennessey,2000000,wal WAL,32,197,Premier League,0,Crystal Palace,Goalkeeper,Goalkeeper,right,3,3,270,11,17,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,103,42.7,36,100.0,116,167,105,0,0,0,0,0,0,7,14,0.636,0,0,0,0,0
Martin Kelly,2000000,eng ENG,29,191,Premier League,0,Crystal Palace,Defender,Right-Back,right,19,17,1549,11,17,0,0.1,0.9,0,1,3,0,1,5,60.0,33,57.9,669,73.7,433,94.7,865,2037,905,50,35,15,102,24,18,115,0,0.0,0,0,0,7,3
Cheikhou KouyatĂ©,8000000,sn SEN,29,189,Premier League,0,Crystal Palace,Midfielder,Defensive Midfield,right,35,29,2528,11,17,0,1.8,0.8,1,1,23,5,1,35,51.4,83,57.2,860,75.9,684,79.4,1210,3473,1658,60,47,13,79,70,45,256,0,0.0,0,4,0,22,1
James McArthur,4000000,sco SCO,31,178,Premier League,0,Crystal Palace,Midfielder,Central Midfield,both,37,37,3090,11,17,0,2.5,2.6,0,3,29,6,9,49,65.3,44,41.9,1474,78.2,1178,87.5,1935,6663,3188,97,73,24,57,110,70,345,0,0.0,0,6,0,44,0
James McCarthy,2000000,ie IRL,28,180,Premier League,0,Crystal Palace,Midfielder,Central Midfield,right,33,16,1680,11,17,0,0.4,0.8,0,0,11,3,3,11,54.5,15,45.5,818,77.0,539,88.9,1018,2437,894,35,30,5,19,77,42,244,0,0.0,0,9,0,15,1
Max Meyer,7000000,de GER,23,173,Premier League,0,Crystal Palace,Midfielder,Attacking Midfield,right,17,6,655,11,17,0,0.6,0.7,0,0,9,2,1,12,33.3,3,30.0,213,75.1,212,76.0,300,1270,613,13,12,1,3,17,8,50,0,0.0,0,1,0,13,0
Luka MilivojeviÄ‡,16000000,rs SRB,28,186,Premier League,0,Crystal Palace,Midfielder,Defensive Midfield,right,31,28,2513,11,17,0,2.5,1.8,3,1,29,7,3,17,64.7,31,59.6,1506,77.1,970,94.8,1784,4507,1967,47,39,8,66,60,37,331,0,0.0,0,12,0,11,1
Tyrick Mitchell,5000000,eng ENG,19,175,Premier League,0,Crystal Palace,Defender,Left-Back,left,4,2,195,11,17,0,0.0,0.2,0,0,0,0,0,1,100.0,1,14.3,119,80.7,80,93.0,142,364,230,6,6,0,1,6,2,18,0,0.0,0,1,0,5,0
Brandon Pierrick,250,eng ENG,17,182,Premier League,0,Crystal Palace,Midfielder,Attacking Midfield,right,2,0,15,11,17,0,0.0,0.1,0,0,0,0,0,3,66.7,0,0.0,9,55.6,8,72.7,16,85,36,0,0,0,1,0,0,6,0,0.0,0,0,0,1,0
JaĂŻro Riedewald,4500000,nl NED,22,182,Premier League,0,Crystal Palace,Defender,Centre-Back,left,17,7,769,11,17,0,0.0,0.4,0,0,3,0,0,15,73.3,6,75.0,400,75.3,253,90.4,482,1070,577,13,11,2,17,15,12,90,0,0.0,0,0,0,8,0
Mamadou Sakho,9000000,fr FRA,29,187,Premier League,0,Crystal Palace,Defender,Centre-Back,left,14,11,931,11,17,0,0.0,0.1,0,0,0,0,0,6,83.3,20,54.1,516,87.4,378,97.4,608,1731,868,15,10,5,53,12,7,120,0,0.0,0,1,1,2,1
Jeffrey Schlupp,9000000,gh GHA,26,178,Premier League,0,Crystal Palace,Midfielder,Left Midfield,left,17,11,1036,11,17,0,1.7,1.1,3,1,18,9,2,23,56.5,19,54.3,342,74.9,321,79.9,496,1874,1138,25,22,3,15,20,6,80,0,0.0,0,2,0,31,0
James Tomkins,4000000,eng ENG,30,192,Premier League,0,Crystal Palace,Defender,Centre-Back,right,18,18,1582,11,17,0,1.2,0.1,1,1,9,2,1,1,100.0,75,77.3,626,80.7,442,96.9,857,1793,891,33,18,15,138,30,14,165,0,0.0,0,5,0,3,0
Cenk Tosun,12000000,tr TUR,28,183,Premier League,0,Crystal Palace,Forward,Centre-Forward,right,5,2,177,11,17,0,0.7,0.0,1,0,4,2,0,8,87.5,5,23.8,47,61.7,54,43.5,69,343,178,3,3,0,1,2,2,9,0,0.0,0,0,0,4,0
Andros Townsend,12000000,eng ENG,28,181,Premier League,0,Crystal Palace,Forward,Right Winger,left,24,14,1294,11,17,0,0.4,2.0,1,1,12,5,2,51,70.6,4,25.0,460,70.7,419,76.6,647,4598,2294,28,28,0,10,32,20,109,0,0.0,0,0,0,36,0
Joel Ward,3200000,eng ENG,29,186,Premier League,0,Crystal Palace,Defender,Right-Back,right,29,27,2382,11,17,0,0.3,0.2,0,0,5,1,2,19,68.4,52,66.7,1260,74.0,744,93.1,1544,3648,2005,46,42,4,106,67,31,271,0,0.0,0,4,0,20,1
Connor Wickham,1000000,eng ENG,26,189,Premier League,0,Crystal Palace,Forward,Centre-Forward,right,6,0,96,11,17,0,1.3,0.5,1,1,4,2,0,3,66.7,10,58.8,44,65.9,46,58.2,62,157,56,3,2,1,1,2,2,8,0,0.0,0,0,0,4,0
Wilfried Zaha,44000000,ci CIV,26,180,Premier League,0,Crystal Palace,Forward,Left Winger,right,38,37,3280,11,17,0,5.3,3.3,4,3,61,17,8,262,61.8,16,29.6,1188,78.7,1459,74.6,1859,13593,8985,33,31,2,4,45,31,232,0,0.0,0,5,0,172,0
Opoku Ampomah,1300000,gh GHA,23,175,Bundesliga,0,DĂĽsseldorf,Forward,Left Winger,right,12,5,500,6,16,0,0.9,0.3,0,0,16,5,0,41,43.9,4,30.8,104,60.6,142,60.7,205,1284,866,4,4,0,5,10,6,33,0,0.0,0,1,0,14,0
Kaan Ayhan,7000000,tr TUR,24,185,Bundesliga,0,DĂĽsseldorf,Defender,Centre-Back,right,31,31,2731,6,16,0,2.5,2.3,2,3,28,4,3,13,84.6,43,44.8,1756,83.8,1362,96.0,2017,7522,4754,34,18,16,106,51,33,283,0,0.0,0,10,0,4,1
Lewis Baker,2000000,eng ENG,24,182,Bundesliga,0,DĂĽsseldorf,Midfielder,Central Midfield,both,8,7,545,6,16,0,0.4,0.3,0,0,12,5,1,12,83.3,3,60.0,230,80.0,190,90.9,283,1229,563,8,5,3,9,7,4,56,0,0.0,0,1,0,5,0
Aymen Barkok,1000000,ma MAR,21,188,Bundesliga,0,DĂĽsseldorf,Midfielder,Attacking Midfield,right,3,1,79,6,16,0,0.0,0.0,0,0,0,0,0,1,0.0,1,50.0,29,58.6,25,73.5,45,78,43,7,6,1,2,1,0,7,0,0.0,0,0,0,1,0
Valon Berisha,4000000,xk KVX,26,176,Bundesliga,0,DĂĽsseldorf,Midfielder,Central Midfield,right,13,12,941,6,16,0,0.8,0.6,0,1,0,0,1,5,40.0,6,30.0,7,71.4,353,78.8,493,1290,594,0,0,0,2,1,0,61,0,0.0,0,1,0,10,0
Adam Bodzek,32500,de GER,33,184,Bundesliga,0,DĂĽsseldorf,Midfielder,Defensive Midfield,right,28,22,2015,6,16,0,0.7,0.3,0,0,9,4,1,6,66.7,31,57.4,709,82.4,479,90.5,899,1846,841,46,32,14,47,40,28,230,0,0.0,0,10,0,12,0
Robin Bormuth,1000000,de GER,23,190,Bundesliga,0,DĂĽsseldorf,Defender,Centre-Back,right,3,2,181,6,16,0,0.0,0.0,0,0,0,0,0,0,0.0,4,57.1,74,79.7,53,100.0,97,294,216,6,1,5,14,2,0,20,0,0.0,0,0,0,0,1
Oliver Fink,25000,de GER,37,187,Bundesliga,0,DĂĽsseldorf,Midfielder,Central Midfield,right,14,8,675,6,16,0,0.6,0.2,0,1,10,0,3,11,54.5,46,57.5,266,60.2,222,68.3,379,1030,477,15,14,1,8,25,20,85,0,0.0,0,2,0,17,0
Niko GieĂźelmann,2000000,de GER,27,182,Bundesliga,0,DĂĽsseldorf,Defender,Left-Back,left,25,22,2057,6,16,0,0.6,1.7,1,1,14,3,2,16,50.0,40,63.5,1135,75.6,737,91.0,1378,4052,2117,42,34,8,75,50,23,199,0,0.0,0,6,0,11,1
Rouwen Hennings,2000000,de GER,31,180,Bundesliga,0,DĂĽsseldorf,Forward,Centre-Forward,left,32,27,2459,6,16,0,9.3,1.7,15,0,68,23,4,35,54.3,47,35.3,619,69.5,590,53.6,873,1912,685,17,16,1,34,10,4,122,0,0.0,0,4,0,32,0
AndrĂ© Hoffmann,2500000,de GER,26,188,Bundesliga,0,DĂĽsseldorf,Defender,Centre-Back,right,29,27,2428,6,16,0,1.2,0.5,2,1,13,4,1,4,100.0,62,55.9,1335,91.0,1021,98.8,1596,4815,2096,29,19,10,133,40,22,262,0,0.0,0,7,0,3,2
Mathias JĂ¸rgensen,2000000,dk DEN,29,189,Bundesliga,0,DĂĽsseldorf,Defender,Centre-Back,right,9,5,498,6,16,0,0.0,0.1,0,1,0,0,1,0,0.0,15,60.0,227,81.9,141,97.9,282,535,289,12,6,6,29,8,5,73,0,0.0,0,1,0,0,1
Kenan Karaman,2000000,tr TUR,25,189,Bundesliga,0,DĂĽsseldorf,Forward,Centre-Forward,right,20,16,1354,6,16,0,4.2,1.8,6,1,31,11,1,37,64.9,40,46.0,335,66.9,407,56.8,523,2501,1241,12,7,5,9,8,4,58,0,0.0,0,4,0,31,0
Florian Kastenmeier,65000,de GER,22,192,Bundesliga,0,DĂĽsseldorf,Goalkeeper,Goalkeeper,right,17,17,1530,6,16,2,0.0,0.5,0,0,0,0,0,3,100.0,0,0.0,630,68.7,325,99.7,676,1936,1086,1,1,0,1,0,0,112,50,0.618,1,0,0,0,1
Dawid Kownacki,4000000,pl POL,22,186,Bundesliga,0,DĂĽsseldorf,Forward,Centre-Forward,right,20,11,1093,6,16,0,2.0,0.6,0,0,27,11,2,59,54.2,33,43.4,311,68.8,323,60.7,497,2530,1465,18,16,2,12,16,13,87,0,0.0,0,4,0,28,0
Alfredo Morales,2000000,us USA,29,183,Bundesliga,0,DĂĽsseldorf,Midfielder,Central Midfield,right,27,18,1730,6,16,0,1.0,0.7,1,2,21,5,4,34,67.6,78,57.8,591,71.9,481,78.3,835,2173,1046,40,34,6,46,35,26,180,0,0.0,0,6,0,32,0
Kasim Nuhu,2500000,gh GHA,24,190,Bundesliga,0,DĂĽsseldorf,Defender,Centre-Back,right,13,11,999,6,16,0,0.8,0.2,1,0,6,3,2,13,84.6,22,61.1,509,81.3,402,97.6,654,2455,1496,30,18,12,63,22,15,103,0,0.0,0,0,0,7,0
Kelvin Ofori,30000,gh GHA,18,172,Bundesliga,0,DĂĽsseldorf,Midfielder,Attacking Midfield,left,2,0,37,6,16,0,0.0,0.0,0,0,1,0,0,4,0.0,1,33.3,22,90.9,26,86.7,31,257,96,0,0,0,0,0,0,4,0,0.0,0,0,0,1,0
Thomas Pledl,80000,de GER,25,174,Bundesliga,0,DĂĽsseldorf,Midfielder,Attacking Midfield,right,5,0,91,6,16,0,0.0,0.1,0,0,1,0,0,3,66.7,0,0.0,38,55.3,33,62.3,55,285,162,2,2,0,0,4,1,11,0,0.0,0,0,0,2,0
Steven Skrzybski,1000000,de GER,26,174,Bundesliga,0,DĂĽsseldorf,Forward,Right Winger,right,11,6,530,6,16,0,1.6,0.5,1,2,14,1,2,13,53.8,1,7.1,129,65.1,146,58.2,221,862,470,13,11,2,3,6,3,33,0,0.0,0,0,0,13,0
Marcel Sobottka,2000000,de GER,25,185,Bundesliga,0,DĂĽsseldorf,Midfielder,Defensive Midfield,right,18,8,701,6,16,0,0.5,0.0,0,1,7,1,1,6,66.7,5,25.0,230,81.3,173,86.1,299,777,337,4,3,1,11,17,12,70,0,0.0,0,2,0,7,0
Zack Steffen,6000000,us USA,24,191,Bundesliga,0,DĂĽsseldorf,Goalkeeper,Goalkeeper,right,17,17,1530,6,16,2,0.0,0.2,0,0,0,0,1,0,0.0,0,0.0,620,71.1,247,100.0,674,1495,920,0,0,0,3,0,0,108,61,0.632,1,0,0,0,1
Kevin StĂ¶ger,4000000,at AUT,25,175,Bundesliga,0,DĂĽsseldorf,Midfielder,Attacking Midfield,left,17,14,1268,6,16,0,0.8,2.0,0,4,22,6,6,31,77.4,5,33.3,969,80.2,756,93.1,1115,3724,1743,31,29,2,7,26,20,148,0,0.0,0,3,0,23,0
Markus Suttner,80000,at AUT,32,179,Bundesliga,0,DĂĽsseldorf,Defender,Left-Back,left,21,16,1339,6,16,0,0.5,0.6,0,1,15,1,4,8,62.5,18,46.2,830,72.7,557,91.9,997,2787,1528,40,33,7,44,28,17,163,0,0.0,0,3,0,7,1
Bernard Tekpetey,1000000,gh GHA,21,172,Bundesliga,0,DĂĽsseldorf,Forward,Right Winger,right,9,5,448,6,16,0,0.5,0.3,0,1,11,1,1,18,55.6,3,23.1,103,61.2,129,60.3,194,1401,1033,5,5,0,1,6,6,37,0,0.0,0,4,0,19,0
Erik Thommy,4000000,de GER,24,175,Bundesliga,0,DĂĽsseldorf,Midfielder,Left Midfield,right,34,25,2259,6,16,0,3.6,3.9,6,4,61,21,9,69,68.1,16,23.9,910,70.9,816,76.9,1234,6990,4403,41,39,2,20,39,27,170,0,0.0,0,3,0,53,1
Jean Zimmer,1000000,de GER,25,172,Bundesliga,0,DĂĽsseldorf,Defender,Right-Back,right,17,8,719,6,16,0,0.3,0.8,0,0,9,1,0,14,42.9,0,0.0,270,66.7,205,74.5,341,1121,743,5,4,1,4,10,4,50,0,0.0,0,2,0,12,0
Matthias Zimmermann,4000000,de GER,27,177,Bundesliga,0,DĂĽsseldorf,Defender,Right-Back,right,34,33,2923,6,16,0,0.7,1.5,1,2,16,1,6,34,41.2,41,49.4,1667,71.1,1135,88.2,1990,5647,3431,80,68,12,66,73,39,324,0,0.0,0,4,0,18,0
Nayef Aguerd,2000000,ma MAR,23,188,Ligue 1,0,Dijon,Defender,Centre-Back,left,11,11,957,7,12,0,0.7,0.0,1,0,5,1,1,2,50.0,41,75.9,572,85.1,469,98.3,717,2148,1085,21,8,13,88,14,11,94,0,0.0,0,2,0,5,2
RĂşnar Alex RĂşnarsson,1000000,is ISL,24,186,Ligue 1,0,Dijon,Goalkeeper,Goalkeeper,right,11,9,901,7,12,0,0.0,0.1,0,0,0,0,0,1,100.0,0,0.0,327,72.5,145,99.3,351,548,279,0,0,0,1,0,0,45,29,0.63,0,0,0,1,1
MickaĂ«l Alphonse,72500,GPE,30,182,Ligue 1,0,Dijon,Defender,Right-Back,right,17,15,1378,7,12,0,0.2,0.3,0,1,8,0,3,30,60.0,35,79.5,716,69.8,485,90.0,945,3108,1837,38,33,5,82,43,19,101,0,0.0,0,2,0,15,0
Romain Amalfitano,1000000,fr FRA,29,175,Ligue 1,0,Dijon,Midfielder,Central Midfield,right,26,18,1695,7,12,0,0.3,0.9,1,1,11,2,2,43,65.1,11,45.8,892,78.5,727,94.0,1092,4925,2624,25,17,8,22,43,22,214,0,0.0,0,5,0,15,1
Florent Balmont,25000,fr FRA,39,168,Ligue 1,0,Dijon,Midfielder,Central Midfield,right,11,4,401,7,12,0,0.2,0.0,0,0,7,3,0,3,33.3,1,20.0,266,83.5,213,88.8,315,1012,548,6,6,0,2,16,9,56,0,0.0,0,1,0,6,0
Yassine Benzia,1000000,dz ALG,24,178,Ligue 1,0,Dijon,Midfielder,Attacking Midfield,right,3,2,173,7,12,0,0.1,0.4,0,0,4,0,0,8,37.5,2,33.3,81,74.1,77,83.7,106,482,262,3,2,1,0,3,2,12,0,0.0,0,0,0,4,0
Jhonder CĂˇdiz,2000000,ve VEN,24,190,Ligue 1,0,Dijon,Forward,Centre-Forward,right,17,7,799,7,12,0,2.5,1.1,2,2,30,12,3,36,72.2,42,47.7,189,63.5,246,55.2,335,1596,1112,6,4,2,12,17,10,29,0,0.0,0,3,0,27,0
