"case","alt","choice","dist","cost","ivt","ovt","freq","income","urban","noalt"
1457,"air",1,440,150.1,58,86,36,70,1,4
1457,"bus",0,440,32.45,290,72,10,70,1,4
1457,"car",0,440,83.6,309,0,0,70,1,4
1458,"train",0,440,71.6,350,79,4,70,1,4
1458,"air",1,440,150.1,58,86,36,70,1,4
1458,"bus",0,440,32.45,290,72,10,70,1,4
1458,"car",0,440,83.6,309,0,0,70,1,4
1459,"train",0,440,71.6,350,79,4,70,1,4
1459,"air",1,440,150.1,58,86,36,70,1,4
1459,"bus",0,440,32.45,290,72,10,70,1,4
1459,"car",0,440,83.6,309,0,0,70,1,4
1460,"train",0,440,71.6,350,79,4,70,1,4
1460,"air",1,440,150.1,58,86,36,70,1,4
1460,"bus",0,440,32.45,290,72,10,70,1,4
1460,"car",0,440,83.6,309,0,0,70,1,4
1461,"train",0,440,71.6,350,79,4,70,1,4
1461,"air",1,440,150.1,58,86,36,70,1,4
1461,"bus",0,440,32.45,290,72,10,70,1,4
1461,"car",0,440,83.6,309,0,0,70,1,4
1462,"train",0,440,71.6,350,79,4,70,1,4
1462,"air",1,440,150.1,58,86,36,70,1,4
1462,"bus",0,440,32.45,290,72,10,70,1,4
1462,"car",0,440,83.6,309,0,0,70,1,4
1463,"train",0,440,71.6,350,79,4,70,1,4
1463,"air",1,440,150.1,58,86,36,70,1,4
1463,"bus",0,440,32.45,290,72,10,70,1,4
1463,"car",0,440,83.6,309,0,0,70,1,4
1464,"train",0,440,71.6,350,79,4,70,1,4
1464,"air",1,440,150.1,58,86,36,70,1,4
1464,"bus",0,440,32.45,290,72,10,70,1,4
1464,"car",0,440,83.6,309,0,0,70,1,4
1465,"train",0,440,71.6,350,79,4,70,1,4
1465,"air",1,440,150.1,58,86,36,70,1,4
1465,"bus",0,440,32.45,290,72,10,70,1,4
1465,"car",0,440,83.6,309,0,0,70,1,4
1466,"train",0,440,71.6,350,79,4,70,1,4
1466,"air",1,440,150.1,58,86,36,70,1,4
1466,"bus",0,440,32.45,290,72,10,70,1,4
1466,"car",0,440,83.6,309,0,0,70,1,4
1467,"train",0,440,71.6,350,79,4,70,1,4
1467,"air",1,440,150.1,58,86,36,70,1,4
1467,"bus",0,440,32.45,290,72,10,70,1,4
1467,"car",0,440,83.6,309,0,0,70,1,4
1468,"train",0,440,71.6,350,79,4,45,1,4
1468,"air",1,440,150.1,58,86,36,45,1,4
1468,"bus",0,440,32.45,290,72,10,45,1,4
1468,"car",0,440,83.6,309,0,0,45,1,4
1469,"train",0,440,71.6,350,79,4,70,1,4
1469,"air",1,440,150.1,58,86,36,70,1,4
1469,"bus",0,440,32.45,290,72,10,70,1,4
1469,"car",0,440,83.6,309,0,0,70,1,4
1470,"train",0,440,71.6,350,79,4,70,1,4
1470,"air",1,440,150.1,58,86,36,70,1,4
1470,"bus",0,440,32.45,290,72,10,70,1,4
1470,"car",0,440,83.6,309,0,0,70,1,4
1471,"train",0,440,71.6,350,79,4,70,1,4
1471,"air",1,440,150.1,58,86,36,70,1,4
1471,"bus",0,440,32.45,290,72,10,70,1,4
1471,"car",0,440,83.6,309,0,0,70,1,4
1472,"train",0,440,71.6,350,79,4,70,1,4
1472,"air",1,440,150.1,58,86,36,70,1,4
1472,"bus",0,440,32.45,290,72,10,70,1,4
1472,"car",0,440,83.6,309,0,0,70,1,4
1473,"train",0,440,71.6,350,79,4,40,1,4
1473,"air",1,440,150.1,58,86,36,40,1,4
1473,"bus",0,440,32.45,290,72,10,40,1,4
1473,"car",0,440,83.6,309,0,0,40,1,4
1474,"train",0,440,71.6,350,79,4,70,1,4
1474,"air",1,440,150.1,58,86,36,70,1,4
1474,"bus",0,440,32.45,290,72,10,70,1,4
1474,"car",0,440,83.6,309,0,0,70,1,4
1475,"train",0,440,71.6,350,79,4,55,1,4
1475,"air",1,440,150.1,58,86,36,55,1,4
1475,"bus",0,440,32.45,290,72,10,55,1,4
1475,"car",0,440,83.6,309,0,0,55,1,4
1476,"train",0,440,71.6,350,79,4,70,1,4
1476,"air",1,440,150.1,58,86,36,70,1,4
1476,"bus",0,440,32.45,290,72,10,70,1,4
1476,"car",0,440,83.6,309,0,0,70,1,4
1477,"train",0,440,71.6,350,79,4,70,1,4
1477,"air",1,440,150.1,58,86,36,70,1,4
1477,"bus",0,440,32.45,290,72,10,70,1,4
1477,"car",0,440,83.6,309,0,0,70,1,4
1478,"train",0,440,71.6,350,79,4,70,1,4
1478,"air",1,440,150.1,58,86,36,70,1,4
1478,"bus",0,440,32.45,290,72,10,70,1,4
1478,"car",0,440,83.6,309,0,0,70,1,4
1479,"train",0,440,71.6,350,79,4,70,1,4
1479,"air",1,440,150.1,58,86,36,70,1,4
1479,"bus",0,440,32.45,290,72,10,70,1,4
1479,"car",0,440,83.6,309,0,0,70,1,4
1480,"train",0,440,71.6,350,79,4,70,1,4
1480,"air",1,440,150.1,58,86,36,70,1,4
1480,"bus",0,440,32.45,290,72,10,70,1,4
1480,"car",0,440,83.6,309,0,0,70,1,4
1481,"train",0,440,71.6,350,79,4,70,1,4
1481,"air",1,440,150.1,58,86,36,70,1,4
1481,"bus",0,440,32.45,290,72,10,70,1,4
1481,"car",0,440,83.6,309,0,0,70,1,4
1482,"train",0,440,71.6,350,79,4,70,1,4
1482,"air",1,440,150.1,58,86,36,70,1,4
1482,"bus",0,440,32.45,290,72,10,70,1,4
1482,"car",0,440,83.6,309,0,0,70,1,4
1483,"train",0,440,71.6,350,79,4,70,1,4
1483,"air",1,440,150.1,58,86,36,70,1,4
1483,"bus",0,440,32.45,290,72,10,70,1,4
1483,"car",0,440,83.6,309,0,0,70,1,4
1484,"train",0,440,71.6,350,79,4,35,1,4
1484,"air",1,440,150.1,58,86,36,35,1,4
1484,"bus",0,440,32.45,290,72,10,35,1,4
1484,"car",0,440,83.6,309,0,0,35,1,4
1485,"train",0,440,71.6,350,79,4,70,1,4
1485,"air",1,440,150.1,58,86,36,70,1,4
1485,"bus",0,440,32.45,290,72,10,70,1,4
1485,"car",0,440,83.6,309,0,0,70,1,4
1486,"train",0,440,71.6,350,79,4,70,1,4
1486,"air",1,440,150.1,58,86,36,70,1,4
1486,"bus",0,440,32.45,290,72,10,70,1,4
1486,"car",0,440,83.6,309,0,0,70,1,4
1487,"train",0,440,71.6,350,79,4,70,1,4
1487,"air",1,440,150.1,58,86,36,70,1,4
1487,"bus",0,440,32.45,290,72,10,70,1,4
1487,"car",0,440,83.6,309,0,0,70,1,4
1488,"train",0,440,71.6,350,79,4,55,1,4
1488,"air",1,440,150.1,58,86,36,55,1,4
1488,"bus",0,440,32.45,290,72,10,55,1,4
1488,"car",0,440,83.6,309,0,0,55,1,4
1489,"train",0,440,71.6,350,79,4,70,1,4
1489,"air",1,440,150.1,58,86,36,70,1,4
1489,"bus",0,440,32.45,290,72,10,70,1,4
1489,"car",0,440,83.6,309,0,0,70,1,4
1490,"train",0,440,71.6,350,79,4,70,1,4
1490,"air",1,440,150.1,58,86,36,70,1,4
1490,"bus",0,440,32.45,290,72,10,70,1,4
1490,"car",0,440,83.6,309,0,0,70,1,4
1491,"train",0,440,71.6,350,79,4,70,1,4
1491,"air",1,440,150.1,58,86,36,70,1,4
1491,"bus",0,440,32.45,290,72,10,70,1,4
1491,"car",0,440,83.6,309,0,0,70,1,4
1492,"train",0,440,71.6,350,79,4,70,1,4
1492,"air",1,440,150.1,58,86,36,70,1,4
1492,"bus",0,440,32.45,290,72,10,70,1,4
1492,"car",0,440,83.6,309,0,0,70,1,4
1493,"train",0,440,71.6,350,79,4,35,1,4
1493,"air",1,440,150.1,58,86,36,35,1,4
1493,"bus",0,440,32.45,290,72,10,35,1,4
1493,"car",0,440,83.6,309,0,0,35,1,4
1494,"train",0,440,71.6,350,79,4,70,1,4
1494,"air",1,440,150.1,58,86,36,70,1,4
1494,"bus",0,440,32.45,290,72,10,70,1,4
1494,"car",0,440,83.6,309,0,0,70,1,4
1495,"train",0,440,71.6,350,79,4,70,1,4
1495,"air",1,440,150.1,58,86,36,70,1,4
1495,"bus",0,440,32.45,290,72,10,70,1,4
1495,"car",0,440,83.6,309,0,0,70,1,4
1496,"train",0,440,71.6,350,79,4,70,1,4
1496,"air",1,440,150.1,58,86,36,70,1,4
1496,"bus",0,440,32.45,290,72,10,70,1,4
1496,"car",0,440,83.6,309,0,0,70,1,4
1497,"train",0,440,71.6,350,79,4,70,1,4
1497,"air",1,440,150.1,58,86,36,70,1,4
1497,"bus",0,440,32.45,290,72,10,70,1,4
1497,"car",0,440,83.6,309,0,0,70,1,4
1498,"train",0,440,71.6,350,79,4,70,1,4
1498,"air",1,440,150.1,58,86,36,70,1,4
1498,"bus",0,440,32.45,290,72,10,70,1,4
1498,"car",0,440,83.6,309,0,0,70,1,4
1499,"train",0,440,71.6,350,79,4,70,1,4
1499,"air",1,440,150.1,58,86,36,70,1,4
1499,"bus",0,440,32.45,290,72,10,70,1,4
1499,"car",0,440,83.6,309,0,0,70,1,4
1500,"train",0,440,71.6,350,79,4,70,1,4
1500,"air",1,440,150.1,58,86,36,70,1,4
1500,"bus",0,440,32.45,290,72,10,70,1,4
1500,"car",0,440,83.6,309,0,0,70,1,4
1501,"train",0,440,71.6,350,79,4,70,1,4
1501,"air",1,440,150.1,58,86,36,70,1,4
1501,"bus",0,440,32.45,290,72,10,70,1,4
1501,"car",0,440,83.6,309,0,0,70,1,4
1502,"train",0,440,71.6,350,79,4,70,1,4
1502,"air",1,440,150.1,58,86,36,70,1,4
1502,"bus",0,440,32.45,290,72,10,70,1,4
1502,"car",0,440,83.6,309,0,0,70,1,4
1503,"train",0,440,71.6,350,79,4,45,1,4
1503,"air",1,440,150.1,58,86,36,45,1,4
1503,"bus",0,440,32.45,290,72,10,45,1,4
1503,"car",0,440,83.6,309,0,0,45,1,4
1504,"train",0,440,71.6,350,79,4,55,1,4
1504,"air",1,440,150.1,58,86,36,55,1,4
1504,"bus",0,440,32.45,290,72,10,55,1,4
1504,"car",0,440,83.6,309,0,0,55,1,4
1505,"train",0,440,71.6,350,79,4,70,1,4
1505,"air",1,440,150.1,58,86,36,70,1,4
1505,"bus",0,440,32.45,290,72,10,70,1,4
1505,"car",0,440,83.6,309,0,0,70,1,4
1506,"train",0,440,71.6,350,79,4,55,1,4
1506,"air",1,440,150.1,58,86,36,55,1,4
1506,"bus",0,440,32.45,290,72,10,55,1,4
1506,"car",0,440,83.6,309,0,0,55,1,4
1507,"train",0,440,71.6,350,79,4,55,1,4
1507,"air",1,440,150.1,58,86,36,55,1,4
1507,"bus",0,440,32.45,290,72,10,55,1,4
1507,"car",0,440,83.6,309,0,0,55,1,4
1508,"train",0,440,71.6,350,79,4,70,1,4
1508,"air",1,440,150.1,58,86,36,70,1,4
1508,"bus",0,440,32.45,290,72,10,70,1,4
1508,"car",0,440,83.6,309,0,0,70,1,4
1509,"train",0,440,71.6,350,79,4,70,1,4
1509,"air",1,440,150.1,58,86,36,70,1,4
1509,"bus",0,440,32.45,290,72,10,70,1,4
1509,"car",0,440,83.6,309,0,0,70,1,4
1510,"train",0,440,71.6,350,79,4,70,1,4
1510,"air",1,440,150.1,58,86,36,70,1,4
1510,"bus",0,440,32.45,290,72,10,70,1,4
1510,"car",0,440,83.6,309,0,0,70,1,4
1511,"train",0,440,71.6,350,79,4,35,1,4
1511,"air",1,440,150.1,58,86,36,35,1,4
1511,"bus",0,440,32.45,290,72,10,35,1,4
1511,"car",0,440,83.6,309,0,0,35,1,4
1512,"train",0,440,71.6,350,79,4,55,1,4
1512,"air",1,440,150.1,58,86,36,55,1,4
1512,"bus",0,440,32.45,290,72,10,55,1,4
1512,"car",0,440,83.6,309,0,0,55,1,4
1513,"train",0,440,71.6,350,79,4,70,1,4
1513,"air",1,440,150.1,58,86,36,70,1,4
1513,"bus",0,440,32.45,290,72,10,70,1,4
1513,"car",0,440,83.6,309,0,0,70,1,4
1514,"train",0,440,71.6,350,79,4,30,1,4
1514,"air",0,440,150.1,58,86,36,30,1,4
1514,"bus",0,440,32.45,290,72,10,30,1,4
1514,"car",1,440,83.6,309,0,0,30,1,4
1515,"train",0,440,71.6,350,79,4,70,1,4
1515,"air",0,440,150.1,58,86,36,70,1,4
1515,"bus",0,440,32.45,290,72,10,70,1,4
1515,"car",1,440,83.6,309,0,0,70,1,4
1516,"train",0,440,71.6,350,79,4,70,1,4
1516,"air",0,440,150.1,58,86,36,70,1,4
1516,"bus",0,440,32.45,290,72,10,70,1,4
1516,"car",1,440,83.6,309,0,0,70,1,4
1517,"train",0,440,71.6,350,79,4,35,1,4
1517,"air",0,440,150.1,58,86,36,35,1,4
1517,"bus",0,440,32.45,290,72,10,35,1,4
1517,"car",1,440,83.6,309,0,0,35,1,4
1518,"train",0,440,71.6,350,79,4,55,1,4
1518,"air",0,440,150.1,58,86,36,55,1,4
1518,"bus",0,440,32.45,290,72,10,55,1,4
1518,"car",1,440,83.6,309,0,0,55,1,4
1519,"train",0,450,73.3,350,80,4,70,1,4
1519,"air",1,450,151.5,58,86,36,70,1,4
1519,"bus",0,450,32.25,290,75,10,70,1,4
1519,"car",0,450,85.5,322,0,0,70,1,4
1520,"train",0,450,73.3,350,80,4,70,1,4
1520,"air",1,450,151.5,58,86,36,70,1,4
1520,"bus",0,450,32.25,290,75,10,70,1,4
1520,"car",0,450,85.5,322,0,0,70,1,4
1521,"train",0,450,73.3,350,80,4,70,1,4
1521,"air",1,450,151.5,58,86,36,70,1,4
1521,"bus",0,450,32.25,290,75,10,70,1,4
1521,"car",0,450,85.5,322,0,0,70,1,4
1522,"train",0,450,73.3,350,80,4,35,1,4
1522,"air",1,450,151.5,58,86,36,35,1,4
1522,"bus",0,450,32.25,290,75,10,35,1,4
1522,"car",0,450,85.5,322,0,0,35,1,4
1523,"train",0,450,73.3,350,80,4,70,1,4
1523,"air",1,450,151.5,58,86,36,70,1,4
1523,"bus",0,450,32.25,290,75,10,70,1,4
1523,"car",0,450,85.5,322,0,0,70,1,4
1524,"train",0,450,73.3,350,80,4,70,1,4
1524,"air",1,450,151.5,58,86,36,70,1,4
1524,"bus",0,450,32.25,290,75,10,70,1,4
1524,"car",0,450,85.5,322,0,0,70,1,4
1525,"train",0,450,73.3,350,80,4,70,1,4
1525,"air",1,450,151.5,58,86,36,70,1,4
1525,"bus",0,450,32.25,290,75,10,70,1,4
1525,"car",0,450,85.5,322,0,0,70,1,4
1526,"train",0,485,75.6,350,115,4,70,0,4
1526,"air",0,485,154.1,58,111,36,70,0,4
1526,"bus",0,485,32.25,290,100,10,70,0,4
1526,"car",1,485,92.15,329,0,0,70,0,4
1527,"train",0,445,74.6,350,85,4,70,0,4
1527,"air",1,445,156.5,58,91,36,70,0,4
1527,"bus",0,445,31.25,290,70,10,70,0,4
1527,"car",0,445,84.55,316,0,0,70,0,4
1528,"train",0,445,74.6,350,85,4,55,0,4
1528,"air",1,445,156.5,58,91,36,55,0,4
1528,"bus",0,445,31.25,290,70,10,55,0,4
1528,"car",0,445,84.55,316,0,0,55,0,4
1529,"train",0,445,74.6,350,85,4,70,0,4
1529,"air",0,445,156.5,58,91,36,70,0,4
1529,"bus",0,445,31.25,290,70,10,70,0,4
1529,"car",1,445,84.55,316,0,0,70,0,4
1530,"train",0,556,82.6,370,98,4,35,0,4
1530,"air",0,556,183.5,69,111,45,35,0,4
1530,"bus",0,556,33.61,370,90,7,35,0,4
1530,"car",1,556,105.64,377,0,0,35,0,4
1531,"train",0,625,84.6,370,110,4,70,0,4
1531,"air",0,625,183.5,69,116,45,70,0,4
1531,"bus",0,625,33.61,370,100,7,70,0,4
1531,"car",1,625,118.75,428,0,0,70,0,4
1532,"train",0,562,82.05,370,85,4,55,0,4
1532,"air",1,562,175.5,69,98,45,55,0,4
1532,"bus",0,562,33.61,370,75,7,55,0,4
1532,"car",0,562,106.78,372,0,0,55,0,4
1533,"train",0,562,82.05,370,85,4,70,0,4
1533,"air",1,562,175.5,69,98,45,70,0,4
1533,"bus",0,562,33.61,370,75,7,70,0,4
1533,"car",0,562,106.78,372,0,0,70,0,4
1534,"train",0,562,82.05,370,85,4,27,0,4
1534,"air",1,562,175.5,69,98,45,27,0,4
1534,"bus",0,562,33.61,370,75,7,27,0,4
1534,"car",0,562,106.78,372,0,0,27,0,4
1535,"train",1,562,80.6,370,90,4,45,0,4
1535,"air",0,562,175.5,69,98,45,45,0,4
1535,"bus",0,562,33.61,370,80,7,45,0,4
1535,"car",0,562,106.78,372,0,0,45,0,4
1536,"train",0,562,80.6,370,90,4,70,0,4
1536,"air",1,562,175.5,69,98,45,70,0,4
1536,"bus",0,562,33.61,370,80,7,70,0,4
1536,"car",0,562,106.78,372,0,0,70,0,4
1537,"train",0,562,80.6,370,90,4,45,0,4
1537,"air",1,562,175.5,69,98,45,45,0,4
1537,"bus",0,562,33.61,370,80,7,45,0,4
1537,"car",0,562,106.78,372,0,0,45,0,4
1538,"train",0,562,80.6,370,90,4,35,0,4
1538,"air",1,562,175.5,69,98,45,35,0,4
1538,"bus",0,562,33.61,370,80,7,35,0,4
1538,"car",0,562,106.78,372,0,0,35,0,4
1539,"train",1,562,72.7,351,80,4,37,1,3
1539,"air",0,562,170.75,69,87,45,37,1,3
1539,"car",0,562,106.78,372,0,0,37,1,3
1540,"train",0,562,72.7,351,80,4,70,1,3
1540,"air",1,562,170.75,69,87,45,70,1,3
1540,"car",0,562,106.78,372,0,0,70,1,3
1541,"train",0,562,72.7,351,80,4,70,1,3
1541,"air",1,562,170.75,69,87,45,70,1,3
1541,"car",0,562,106.78,372,0,0,70,1,3
1542,"train",0,562,72.7,351,80,4,70,1,3
1542,"air",1,562,170.75,69,87,45,70,1,3
1542,"car",0,562,106.78,372,0,0,70,1,3
1543,"train",0,562,72.7,351,80,4,55,1,3
1543,"air",1,562,170.75,69,87,45,55,1,3
1543,"car",0,562,106.78,372,0,0,55,1,3
1544,"train",0,562,72.7,351,80,4,70,1,3
1544,"air",1,562,170.75,69,87,45,70,1,3
1544,"car",0,562,106.78,372,0,0,70,1,3
1545,"train",0,562,72.7,351,80,4,70,1,3
1545,"air",1,562,170.75,69,87,45,70,1,3
1545,"car",0,562,106.78,372,0,0,70,1,3
1546,"train",0,562,72.7,351,80,4,70,1,3
1546,"air",1,562,170.75,69,87,45,70,1,3
1546,"car",0,562,106.78,372,0,0,70,1,3
1547,"train",0,562,72.7,351,80,4,70,1,3
1547,"air",1,562,170.75,69,87,45,70,1,3
1547,"car",0,562,106.78,372,0,0,70,1,3
1548,"train",0,562,72.7,351,80,4,70,1,3
1548,"air",1,562,170.75,69,87,45,70,1,3
1548,"car",0,562,106.78,372,0,0,70,1,3
1549,"train",0,562,72.7,351,80,4,70,1,3
1549,"air",1,562,170.75,69,87,45,70,1,3
1549,"car",0,562,106.78,372,0,0,70,1,3
1550,"train",0,562,72.7,351,80,4,70,1,3
1550,"air",1,562,170.75,69,87,45,70,1,3
1550,"car",0,562,106.78,372,0,0,70,1,3
1551,"train",0,562,72.7,351,80,4,70,1,3
1551,"air",1,562,170.75,69,87,45,70,1,3
1551,"car",0,562,106.78,372,0,0,70,1,3
1552,"train",0,562,72.7,351,80,4,45,1,3
1552,"air",1,562,170.75,69,87,45,45,1,3
1552,"car",0,562,106.78,372,0,0,45,1,3
1553,"train",0,562,72.7,351,80,4,55,1,3
1553,"air",1,562,170.75,69,87,45,55,1,3
1553,"car",0,562,106.78,372,0,0,55,1,3
1554,"train",0,562,72.7,351,80,4,70,1,3
1554,"air",1,562,170.75,69,87,45,70,1,3
1554,"car",0,562,106.78,372,0,0,70,1,3
1555,"train",0,562,72.7,351,80,4,70,1,3
1555,"air",1,562,170.75,69,87,45,70,1,3
1555,"car",0,562,106.78,372,0,0,70,1,3
1556,"train",0,562,72.7,351,80,4,55,1,3
1556,"air",1,562,170.75,69,87,45,55,1,3
1556,"car",0,562,106.78,372,0,0,55,1,3
1557,"train",0,562,72.7,351,80,4,70,1,3
1557,"air",1,562,170.75,69,87,45,70,1,3
1557,"car",0,562,106.78,372,0,0,70,1,3
1558,"train",0,562,72.7,351,80,4,70,1,3
1558,"air",1,562,170.75,69,87,45,70,1,3
1558,"car",0,562,106.78,372,0,0,70,1,3
1559,"train",0,562,72.7,351,80,4,55,1,3
1559,"air",1,562,170.75,69,87,45,55,1,3
1559,"car",0,562,106.78,372,0,0,55,1,3
1560,"train",0,562,72.7,351,80,4,70,1,3
1560,"air",1,562,170.75,69,87,45,70,1,3
1560,"car",0,562,106.78,372,0,0,70,1,3
1561,"train",0,562,72.7,351,80,4,70,1,3
1561,"air",1,562,170.75,69,87,45,70,1,3
1561,"car",0,562,106.78,372,0,0,70,1,3
1562,"train",0,562,72.7,351,80,4,45,1,3
1562,"air",1,562,170.75,69,87,45,45,1,3
1562,"car",0,562,106.78,372,0,0,45,1,3
1563,"train",0,562,72.7,351,80,4,35,1,3
1563,"air",1,562,170.75,69,87,45,35,1,3
1563,"car",0,562,106.78,372,0,0,35,1,3
1564,"train",0,562,72.7,351,80,4,55,1,3
1564,"air",1,562,170.75,69,87,45,55,1,3
1564,"car",0,562,106.78,372,0,0,55,1,3
1565,"train",0,562,72.7,351,80,4,70,1,3
1565,"air",1,562,170.75,69,87,45,70,1,3
1565,"car",0,562,106.78,372,0,0,70,1,3
1566,"train",0,562,72.7,351,80,4,70,1,3
1566,"air",1,562,170.75,69,87,45,70,1,3
1566,"car",0,562,106.78,372,0,0,70,1,3
1567,"train",0,562,72.7,351,80,4,70,1,3
1567,"air",1,562,170.75,69,87,45,70,1,3
1567,"car",0,562,106.78,372,0,0,70,1,3
1568,"train",0,562,72.7,351,80,4,70,1,3
1568,"air",1,562,170.75,69,87,45,70,1,3
1568,"car",0,562,106.78,372,0,0,70,1,3
1569,"train",0,562,72.7,351,80,4,45,1,3
1569,"air",1,562,170.75,69,87,45,45,1,3
1569,"car",0,562,106.78,372,0,0,45,1,3
1570,"train",0,562,72.7,351,80,4,70,1,3
1570,"air",1,562,170.75,69,87,45,70,1,3
1570,"car",0,562,106.78,372,0,0,70,1,3
1571,"train",0,562,72.7,351,80,4,70,1,3
1571,"air",1,562,170.75,69,87,45,70,1,3
1571,"car",0,562,106.78,372,0,0,70,1,3
1572,"train",0,562,72.7,351,80,4,70,1,3
1572,"air",1,562,170.75,69,87,45,70,1,3
1572,"car",0,562,106.78,372,0,0,70,1,3
1573,"train",0,562,72.7,351,80,4,55,1,3
1573,"air",1,562,170.75,69,87,45,55,1,3
1573,"car",0,562,106.78,372,0,0,55,1,3
1574,"train",0,562,72.7,351,80,4,45,1,3
1574,"air",1,562,170.75,69,87,45,45,1,3
1574,"car",0,562,106.78,372,0,0,45,1,3
1575,"train",0,562,72.7,351,80,4,70,1,3
1575,"air",1,562,170.75,69,87,45,70,1,3
1575,"car",0,562,106.78,372,0,0,70,1,3
1576,"train",0,562,72.7,351,80,4,70,1,3
1576,"air",1,562,170.75,69,87,45,70,1,3
1576,"car",0,562,106.78,372,0,0,70,1,3
1577,"train",0,562,72.7,351,80,4,70,1,3
1577,"air",1,562,170.75,69,87,45,70,1,3
1577,"car",0,562,106.78,372,0,0,70,1,3
1578,"train",0,562,72.7,351,80,4,70,1,3
1578,"air",1,562,170.75,69,87,45,70,1,3
1578,"car",0,562,106.78,372,0,0,70,1,3
1579,"train",0,562,72.7,351,80,4,70,1,3
1579,"air",1,562,170.75,69,87,45,70,1,3
1579,"car",0,562,106.78,372,0,0,70,1,3
1580,"train",0,562,72.7,351,80,4,45,1,3
1580,"air",0,562,170.75,69,87,45,45,1,3
1580,"car",1,562,106.78,372,0,0,45,1,3
1581,"train",0,562,72.7,351,80,4,70,1,3
1581,"air",0,562,170.75,69,87,45,70,1,3
1581,"car",1,562,106.78,372,0,0,70,1,3
1582,"train",0,562,72.7,351,80,4,55,1,3
1582,"air",0,562,170.75,69,87,45,55,1,3
1582,"car",1,562,106.78,372,0,0,55,1,3
1583,"train",1,552,75.15,370,80,4,70,1,4
1583,"air",0,552,173.5,69,91,45,70,1,4
1583,"bus",0,552,33.51,370,73,7,70,1,4
1583,"car",0,552,104.88,359,0,0,70,1,4
1584,"train",1,552,75.15,370,80,4,70,1,4
1584,"air",0,552,173.5,69,91,45,70,1,4
1584,"bus",0,552,33.51,370,73,7,70,1,4
1584,"car",0,552,104.88,359,0,0,70,1,4
1585,"train",0,552,75.15,370,80,4,70,1,4
1585,"air",1,552,173.5,69,91,45,70,1,4
1585,"bus",0,552,33.51,370,73,7,70,1,4
1585,"car",0,552,104.88,359,0,0,70,1,4
1586,"train",0,552,75.15,370,80,4,55,1,4
1586,"air",1,552,173.5,69,91,45,55,1,4
1586,"bus",0,552,33.51,370,73,7,55,1,4
1586,"car",0,552,104.88,359,0,0,55,1,4
1587,"train",0,552,75.15,370,80,4,45,1,4
1587,"air",1,552,173.5,69,91,45,45,1,4
1587,"bus",0,552,33.51,370,73,7,45,1,4
1587,"car",0,552,104.88,359,0,0,45,1,4
1588,"train",0,552,75.15,370,80,4,70,1,4
1588,"air",1,552,173.5,69,91,45,70,1,4
1588,"bus",0,552,33.51,370,73,7,70,1,4
1588,"car",0,552,104.88,359,0,0,70,1,4
1589,"train",0,552,75.15,370,80,4,70,1,4
1589,"air",1,552,173.5,69,91,45,70,1,4
1589,"bus",0,552,33.51,370,73,7,70,1,4
1589,"car",0,552,104.88,359,0,0,70,1,4
1590,"train",0,552,75.15,370,80,4,70,1,4
1590,"air",1,552,173.5,69,91,45,70,1,4
1590,"bus",0,552,33.51,370,73,7,70,1,4
1590,"car",0,552,104.88,359,0,0,70,1,4
1591,"train",0,552,75.15,370,80,4,70,1,4
1591,"air",1,552,173.5,69,91,45,70,1,4
1591,"bus",0,552,33.51,370,73,7,70,1,4
1591,"car",0,552,104.88,359,0,0,70,1,4
1592,"train",0,552,75.15,370,80,4,70,1,4
1592,"air",1,552,173.5,69,91,45,70,1,4
1592,"bus",0,552,33.51,370,73,7,70,1,4
1592,"car",0,552,104.88,359,0,0,70,1,4
1593,"train",0,552,75.15,370,80,4,45,1,4
1593,"air",1,552,173.5,69,91,45,45,1,4
1593,"bus",0,552,33.51,370,73,7,45,1,4
1593,"car",0,552,104.88,359,0,0,45,1,4
1594,"train",0,552,75.15,370,80,4,45,1,4
1594,"air",1,552,173.5,69,91,45,45,1,4
1594,"bus",0,552,33.51,370,73,7,45,1,4
1594,"car",0,552,104.88,359,0,0,45,1,4
1595,"train",0,552,75.15,370,80,4,70,1,4
1595,"air",1,552,173.5,69,91,45,70,1,4
1595,"bus",0,552,33.51,370,73,7,70,1,4
1595,"car",0,552,104.88,359,0,0,70,1,4
1596,"train",0,557,74.6,370,75,4,70,1,4
1596,"air",1,557,174.15,69,94,45,70,1,4
1596,"bus",0,557,33.71,370,70,7,70,1,4
1596,"car",0,557,105.83,365,0,0,70,1,4
1597,"train",0,557,74.6,370,75,4,55,1,4
1597,"air",1,557,174.15,69,94,45,55,1,4
1597,"bus",0,557,33.71,370,70,7,55,1,4
1597,"car",0,557,105.83,365,0,0,55,1,4
1598,"train",1,557,72.6,370,67,4,70,1,4
1598,"air",0,557,180.05,69,91,45,70,1,4
1598,"bus",0,557,33.66,370,68,7,70,1,4
1598,"car",0,557,105.83,365,0,0,70,1,4
1599,"train",1,557,72.6,370,67,4,70,1,4
1599,"air",0,557,180.05,69,91,45,70,1,4
1599,"bus",0,557,33.66,370,68,7,70,1,4
1599,"car",0,557,105.83,365,0,0,70,1,4
1600,"train",1,557,72.6,370,67,4,55,1,4
1600,"air",0,557,180.05,69,91,45,55,1,4
1600,"bus",0,557,33.66,370,68,7,55,1,4
1600,"car",0,557,105.83,365,0,0,55,1,4
1601,"train",1,557,72.6,370,67,4,70,1,4
1601,"air",0,557,180.05,69,91,45,70,1,4
